LECROYWaveRunner5u	30005	Waveform
Segments	1	SegmentSize	1327
Segment	TrigTime	TimeSinceSegment1
#1	24-May-2021 12:36:52	0                 
Time	Ampl
-2.47061e-07	-0.00657424
-2.46661e-07	-0.00481665
-2.46261e-07	-0.00657424
-2.45861e-07	-0.00833183
-2.45461e-07	-0.00657424
-2.45061e-07	-0.00481665
-2.44661e-07	-0.00657424
-2.44261e-07	-0.00481665
-2.43861e-07	-0.00481665
-2.43461e-07	-0.00481665
-2.43061e-07	-0.00481665
-2.42661e-07	-0.00657424
-2.42261e-07	-0.00657424
-2.41861e-07	-0.00481665
-2.41461e-07	-0.00657424
-2.41061e-07	-0.00481665
-2.40661e-07	-0.00481665
-2.40261e-07	-0.00481665
-2.39861e-07	-0.00833183
-2.39461e-07	-0.00833183
-2.39061e-07	-0.00657424
-2.38661e-07	-0.00481665
-2.38261e-07	-0.00657424
-2.37861e-07	-0.00481665
-2.37461e-07	-0.00481665
-2.37061e-07	-0.00657424
-2.36661e-07	-0.00657424
-2.36261e-07	-0.00481665
-2.35861e-07	-0.00481665
-2.35461e-07	-0.00657424
-2.35061e-07	-0.00657424
-2.34661e-07	-0.00833183
-2.34261e-07	-0.00305906
-2.33861e-07	-0.00657424
-2.33461e-07	-0.00481665
-2.33061e-07	-0.00657424
-2.32661e-07	-0.00657424
-2.32261e-07	-0.00481665
-2.31861e-07	-0.00657424
-2.31461e-07	-0.00481665
-2.31061e-07	-0.00833183
-2.30661e-07	-0.00657424
-2.30261e-07	-0.00833183
-2.29861e-07	-0.00481665
-2.29461e-07	-0.00657424
-2.29061e-07	-0.00481665
-2.28661e-07	-0.00657424
-2.28261e-07	-0.00657424
-2.27861e-07	-0.00481665
-2.27461e-07	-0.00481665
-2.27061e-07	-0.00833183
-2.26661e-07	-0.00481665
-2.26261e-07	-0.00657424
-2.25861e-07	-0.00481665
-2.25461e-07	-0.00657424
-2.25061e-07	-0.00481665
-2.24661e-07	-0.00481665
-2.24261e-07	-0.00657424
-2.23861e-07	-0.00305906
-2.23461e-07	-0.00657424
-2.23061e-07	-0.00481665
-2.22661e-07	-0.00481665
-2.22261e-07	-0.00481665
-2.21861e-07	-0.00657424
-2.21461e-07	-0.00481665
-2.21061e-07	-0.00657424
-2.20661e-07	-0.00481665
-2.20261e-07	-0.00657424
-2.19861e-07	-0.00657424
-2.19461e-07	-0.00481665
-2.19061e-07	-0.00305906
-2.18661e-07	-0.00481665
-2.18261e-07	-0.00481665
-2.17861e-07	-0.00657424
-2.17461e-07	-0.00657424
-2.17061e-07	-0.00305906
-2.16661e-07	-0.00657424
-2.16261e-07	-0.00657424
-2.15861e-07	-0.00481665
-2.15461e-07	-0.00657424
-2.15061e-07	-0.00657424
-2.14661e-07	-0.00657424
-2.14261e-07	-0.00657424
-2.13861e-07	-0.00481665
-2.13461e-07	-0.00481665
-2.13061e-07	-0.00481665
-2.12661e-07	-0.00657424
-2.12261e-07	-0.00833183
-2.11861e-07	-0.00305906
-2.11461e-07	-0.00657424
-2.11061e-07	-0.00657424
-2.10661e-07	-0.00481665
-2.10261e-07	-0.00481665
-2.09861e-07	-0.00657424
-2.09461e-07	-0.00657424
-2.09061e-07	-0.00657424
-2.08661e-07	-0.00833183
-2.08261e-07	-0.00481665
-2.07861e-07	-0.00657424
-2.07461e-07	-0.00657424
-2.07061e-07	-0.00481665
-2.06661e-07	-0.00481665
-2.06261e-07	-0.00481665
