LECROYWaveRunner5u	30005	Waveform
Segments	1	SegmentSize	1327
Segment	TrigTime	TimeSinceSegment1
#1	24-May-2021 12:36:52	0                 
Time	Ampl
-2.47139e-07	-0.00481665
-2.46739e-07	-0.00657424
-2.46339e-07	-0.00657424
-2.45939e-07	-0.00833183
-2.45539e-07	-0.00481665
-2.45139e-07	-0.00657424
-2.44739e-07	-0.00481665
-2.44339e-07	-0.00657424
-2.43939e-07	-0.00481665
-2.43539e-07	-0.00481665
-2.43139e-07	-0.00481665
-2.42739e-07	-0.00833183
-2.42339e-07	-0.00657424
-2.41939e-07	-0.00657424
-2.41539e-07	-0.00657424
-2.41139e-07	-0.00657424
-2.40739e-07	-0.00657424
-2.40339e-07	-0.00305906
-2.39939e-07	-0.00833183
-2.39539e-07	-0.00657424
-2.39139e-07	-0.00657424
-2.38739e-07	-0.00481665
-2.38339e-07	-0.00833183
-2.37939e-07	-0.00657424
-2.37539e-07	-0.00305906
-2.37139e-07	-0.00481665
-2.36739e-07	-0.00833183
-2.36339e-07	-0.00657424
-2.35939e-07	-0.00305906
-2.35539e-07	-0.00481665
-2.35139e-07	-0.00481665
-2.34739e-07	-0.00657424
-2.34339e-07	-0.00481665
-2.33939e-07	-0.00657424
-2.33539e-07	-0.00657424
-2.33139e-07	-0.00657424
-2.32739e-07	-0.00481665
-2.32339e-07	-0.00657424
-2.31939e-07	-0.00833183
-2.31539e-07	-0.00657424
-2.31139e-07	-0.00657424
-2.30739e-07	-0.00481665
-2.30339e-07	-0.00833183
-2.29939e-07	-0.00657424
-2.29539e-07	-0.00305906
-2.29139e-07	-0.00833183
-2.28739e-07	-0.00657424
-2.28339e-07	-0.00657424
-2.27939e-07	-0.00657424
-2.27539e-07	-0.00657424
-2.27139e-07	-0.00657424
-2.26739e-07	-0.00481665
-2.26339e-07	-0.00657424
-2.25939e-07	-0.00657424
-2.25539e-07	-0.00657424
-2.25139e-07	-0.00657424
-2.24739e-07	-0.00305906
-2.24339e-07	-0.00481665
-2.23939e-07	-0.00657424
-2.23539e-07	-0.00657424
-2.23139e-07	-0.00481665
-2.22739e-07	-0.00481665
-2.22339e-07	-0.00481665
-2.21939e-07	-0.00833183
-2.21539e-07	-0.00657424
-2.21139e-07	-0.00657424
-2.20739e-07	-0.0100894
-2.20339e-07	-0.00657424
-2.19939e-07	-0.00481665
-2.19539e-07	-0.00657424
-2.19139e-07	-0.00833183
-2.18739e-07	-0.00657424
-2.18339e-07	-0.00481665
-2.17939e-07	-0.00481665
-2.17539e-07	-0.00657424
-2.17139e-07	-0.00481665
-2.16739e-07	-0.00481665
-2.16339e-07	-0.00481665
-2.15939e-07	-0.00657424
-2.15539e-07	-0.00657424
-2.15139e-07	-0.00657424
-2.14739e-07	-0.00657424
-2.14339e-07	-0.00657424
-2.13939e-07	-0.00833183
-2.13539e-07	-0.00657424
-2.13139e-07	-0.00481665
-2.12739e-07	-0.00833183
-2.12339e-07	-0.00657424
-2.11939e-07	-0.00481665
-2.11539e-07	-0.00481665
-2.11139e-07	-0.00305906
-2.10739e-07	-0.00833183
-2.10339e-07	-0.00657424
-2.09939e-07	-0.00657424
-2.09539e-07	-0.00481665
-2.09139e-07	-0.00657424
-2.08739e-07	-0.00481665
-2.08339e-07	-0.00657424
-2.07939e-07	-0.00833183
-2.07539e-07	-0.00657424
-2.07139e-07	-0.00833183
-2.06739e-07	-0.00657424
-2.06339e-07	-0.00481665
-2.05939e-07	-0.00657424
-2.05539e-07	-0.00481665
-2.05139e-07	-0.00481665
-2.04739e-07	-0.00481665
-2.04339e-07	-0.00481665
-2.03939e-07	-0.00481665
-2.03539e-07	-0.00657424
-2.03139e-07	-0.00657424
-2.02739e-07	-0.00481665
-2.02339e-07	-0.00481665
-2.01939e-07	-0.00481665
-2.01539e-07	-0.00481665
-2.01139e-07	-0.00481665
-2.00739e-07	-0.00833183
-2.00339e-07	-0.00657424
-1.99939e-07	-0.00833183
-1.99539e-07	-0.00657424
-1.99139e-07	-0.00657424
-1.98739e-07	-0.00481665
-1.98339e-07	-0.00657424
-1.97939e-07	-0.00657424
-1.97539e-07	-0.00481665
-1.97139e-07	-0.00657424
-1.96739e-07	-0.00657424
-1.96339e-07	-0.00657424
-1.95939e-07	-0.00657424
-1.95539e-07	-0.00657424
-1.95139e-07	-0.00657424
-1.94739e-07	-0.00481665
-1.94339e-07	-0.00481665
-1.93939e-07	-0.00657424
-1.93539e-07	-0.00481665
-1.93139e-07	-0.00657424
-1.92739e-07	-0.00657424
-1.92339e-07	-0.00481665
-1.91939e-07	-0.00657424
-1.91539e-07	-0.00657424
-1.91139e-07	-0.00657424
-1.90739e-07	-0.00657424
-1.90339e-07	-0.00657424
-1.89939e-07	-0.00657424
-1.89539e-07	-0.00657424
-1.89139e-07	-0.00657424
-1.88739e-07	-0.00481665
-1.88339e-07	-0.00481665
-1.87939e-07	-0.00481665
-1.87539e-07	-0.00657424
-1.87139e-07	-0.00657424
-1.86739e-07	-0.00657424
-1.86339e-07	-0.00481665
-1.85939e-07	-0.00657424
-1.85539e-07	-0.00481665
-1.85139e-07	-0.00833183
-1.84739e-07	-0.00481665
-1.84339e-07	-0.00481665
-1.83939e-07	-0.00833183
-1.83539e-07	-0.00657424
-1.83139e-07	-0.00657424
-1.82739e-07	-0.00481665
-1.82339e-07	-0.00833183
-1.81939e-07	-0.00657424
-1.81539e-07	-0.00657424
-1.81139e-07	-0.00657424
-1.80739e-07	-0.00833183
-1.80339e-07	-0.00657424
-1.79939e-07	-0.00481665
-1.79539e-07	-0.00833183
-1.79139e-07	-0.00833183
-1.78739e-07	-0.00657424
-1.78339e-07	-0.00481665
-1.77939e-07	-0.00481665
-1.77539e-07	-0.00657424
-1.77139e-07	-0.00657424
-1.76739e-07	-0.00305906
-1.76339e-07	-0.00657424
-1.75939e-07	-0.00657424
-1.75539e-07	-0.00657424
-1.75139e-07	-0.00481665
-1.74739e-07	-0.00657424
-1.74339e-07	-0.00481665
-1.73939e-07	-0.00657424
-1.73539e-07	-0.00481665
-1.73139e-07	-0.00657424
-1.72739e-07	-0.00657424
-1.72339e-07	-0.00481665
-1.71939e-07	-0.00481665
-1.71539e-07	-0.00657424
-1.71139e-07	-0.00481665
-1.70739e-07	-0.00657424
-1.70339e-07	-0.00833183
-1.69939e-07	-0.00833183
-1.69539e-07	-0.00657424
-1.69139e-07	-0.00481665
-1.68739e-07	-0.00481665
-1.68339e-07	-0.00657424
-1.67939e-07	-0.00657424
-1.67539e-07	-0.00833183
-1.67139e-07	-0.00657424
-1.66739e-07	-0.00657424
-1.66339e-07	-0.00657424
-1.65939e-07	-0.00657424
-1.65539e-07	-0.00657424
-1.65139e-07	-0.00481665
-1.64739e-07	-0.00481665
-1.64339e-07	-0.00657424
-1.63939e-07	-0.00481665
-1.63539e-07	-0.00657424
-1.63139e-07	-0.00657424
-1.62739e-07	-0.00657424
-1.62339e-07	-0.00481665
-1.61939e-07	-0.00305906
-1.61539e-07	-0.00833183
-1.61139e-07	-0.00481665
-1.60739e-07	-0.00657424
-1.60339e-07	-0.00657424
-1.59939e-07	-0.00657424
-1.59539e-07	-0.00657424
-1.59139e-07	-0.00481665
-1.58739e-07	-0.00481665
-1.58339e-07	-0.00657424
-1.57939e-07	-0.00481665
-1.57539e-07	-0.00657424
-1.57139e-07	-0.00833183
-1.56739e-07	-0.00481665
-1.56339e-07	-0.00657424
-1.55939e-07	-0.00657424
-1.55539e-07	-0.00481665
-1.55139e-07	-0.00657424
-1.54739e-07	-0.00657424
-1.54339e-07	-0.00657424
-1.53939e-07	-0.00305906
-1.53539e-07	-0.00657424
-1.53139e-07	-0.00657424
-1.52739e-07	-0.00833183
-1.52339e-07	-0.00481665
-1.51939e-07	-0.00481665
-1.51539e-07	-0.00657424
-1.51139e-07	-0.00657424
-1.50739e-07	-0.00657424
-1.50339e-07	-0.00481665
-1.49939e-07	-0.00481665
-1.49539e-07	-0.00481665
-1.49139e-07	-0.00657424
-1.48739e-07	-0.0100894
-1.48339e-07	-0.00657424
-1.47939e-07	-0.00481665
-1.47539e-07	-0.00657424
-1.47139e-07	-0.00833183
-1.46739e-07	-0.00657424
-1.46339e-07	-0.00657424
-1.45939e-07	-0.00657424
-1.45539e-07	-0.00833183
-1.45139e-07	-0.00481665
-1.44739e-07	-0.00657424
-1.44339e-07	-0.00657424
-1.43939e-07	-0.00657424
-1.43539e-07	-0.00657424
-1.43139e-07	-0.00481665
-1.42739e-07	-0.00481665
-1.42339e-07	-0.00657424
-1.41939e-07	-0.00657424
-1.41539e-07	-0.00657424
-1.41139e-07	-0.00305906
-1.40739e-07	-0.00657424
-1.40339e-07	-0.00481665
-1.39939e-07	-0.00657424
-1.39539e-07	-0.00833183
-1.39139e-07	-0.00657424
-1.38739e-07	-0.00481665
-1.38339e-07	-0.00481665
-1.37939e-07	-0.00481665
-1.37539e-07	-0.00657424
-1.37139e-07	-0.00657424
-1.36739e-07	-0.00481665
-1.36339e-07	-0.00657424
-1.35939e-07	-0.00657424
-1.35539e-07	-0.00833183
-1.35139e-07	-0.00657424
-1.34739e-07	-0.00657424
-1.34339e-07	-0.00481665
-1.33939e-07	-0.00481665
-1.33539e-07	-0.00481665
-1.33139e-07	-0.00657424
-1.32739e-07	-0.00657424
-1.32339e-07	-0.00481665
-1.31939e-07	-0.00305906
-1.31539e-07	-0.00305906
-1.31139e-07	-0.00657424
-1.30739e-07	-0.00481665
-1.30339e-07	-0.00481665
-1.29939e-07	-0.00657424
-1.29539e-07	-0.00833183
-1.29139e-07	-0.00481665
-1.28739e-07	-0.00481665
-1.28339e-07	-0.00657424
-1.27939e-07	-0.00833183
-1.27539e-07	-0.00657424
-1.27139e-07	-0.00657424
-1.26739e-07	-0.00657424
-1.26339e-07	-0.00481665
-1.25939e-07	-0.00657424
-1.25539e-07	-0.00481665
-1.25139e-07	-0.00657424
-1.24739e-07	-0.00657424
-1.24339e-07	-0.00833183
-1.23939e-07	-0.00481665
-1.23539e-07	-0.00481665
-1.23139e-07	-0.00481665
-1.22739e-07	-0.00481665
-1.22339e-07	-0.00657424
-1.21939e-07	-0.00657424
-1.21539e-07	-0.00657424
-1.21139e-07	-0.00833183
-1.20739e-07	-0.00833183
-1.20339e-07	-0.00481665
-1.19939e-07	-0.00833183
-1.19539e-07	-0.00657424
-1.19139e-07	-0.00305906
-1.18739e-07	-0.00305906
-1.18339e-07	-0.00657424
-1.17939e-07	-0.00481665
-1.17539e-07	-0.00305906
-1.17139e-07	-0.00657424
-1.16739e-07	-0.00481665
-1.16339e-07	-0.00657424
-1.15939e-07	-0.00481665
-1.15539e-07	-0.00657424
-1.15139e-07	-0.00657424
-1.14739e-07	-0.00481665
-1.14339e-07	-0.00481665
-1.13939e-07	-0.00481665
-1.13539e-07	-0.00657424
-1.13139e-07	-0.00481665
-1.12739e-07	-0.00657424
-1.12339e-07	-0.00657424
-1.11939e-07	-0.00481665
-1.11539e-07	-0.00657424
-1.11139e-07	-0.00657424
-1.10739e-07	-0.00481665
-1.10339e-07	-0.00833183
-1.09939e-07	-0.00657424
-1.09539e-07	-0.00657424
-1.09139e-07	-0.00481665
-1.08739e-07	-0.00657424
-1.08339e-07	-0.00657424
-1.07939e-07	-0.00481665
-1.07539e-07	-0.00657424
-1.07139e-07	-0.00481665
-1.06739e-07	-0.00657424
-1.06339e-07	-0.00657424
-1.05939e-07	-0.00305906
-1.05539e-07	-0.00657424
-1.05139e-07	-0.00657424
-1.04739e-07	-0.00481665
-1.04339e-07	-0.00481665
-1.03939e-07	-0.00657424
-1.03539e-07	-0.00481665
-1.03139e-07	-0.00657424
-1.02739e-07	-0.00481665
-1.02339e-07	-0.00657424
-1.01939e-07	-0.00657424
-1.01539e-07	-0.00481665
-1.01139e-07	-0.00481665
-1.00739e-07	-0.00481665
-1.00339e-07	-0.00657424
-9.99386e-08	-0.00481665
-9.95386e-08	-0.00833183
-9.91386e-08	-0.00657424
-9.87386e-08	-0.00657424
-9.83386e-08	-0.00481665
-9.79386e-08	-0.00481665
-9.75386e-08	-0.00657424
-9.71386e-08	-0.00657424
-9.67386e-08	-0.00481665
-9.63386e-08	-0.00657424
-9.59386e-08	-0.00657424
-9.55386e-08	-0.00657424
-9.51386e-08	-0.00833183
-9.47386e-08	-0.00833183
-9.43386e-08	-0.00833183
-9.39386e-08	-0.00481665
-9.35386e-08	-0.00481665
-9.31386e-08	-0.00481665
-9.27386e-08	-0.00833183
-9.23386e-08	-0.00657424
-9.19386e-08	-0.00481665
-9.15386e-08	-0.00657424
-9.11386e-08	-0.00657424
-9.07386e-08	-0.00657424
-9.03386e-08	-0.00833183
-8.99386e-08	-0.00481665
-8.95386e-08	-0.00657424
-8.91386e-08	-0.00481665
-8.87386e-08	-0.00657424
-8.83386e-08	-0.00481665
-8.79386e-08	-0.00657424
-8.75386e-08	-0.00481665
-8.71386e-08	-0.00657424
-8.67386e-08	-0.00481665
-8.63386e-08	-0.00657424
-8.59386e-08	-0.00657424
-8.55386e-08	-0.00833183
-8.51386e-08	-0.00657424
-8.47386e-08	-0.00481665
-8.43386e-08	-0.00481665
-8.39386e-08	-0.00657424
-8.35386e-08	-0.00481665
-8.31386e-08	-0.00833183
-8.27386e-08	-0.00657424
-8.23386e-08	-0.00657424
-8.19386e-08	-0.00657424
-8.15386e-08	-0.00481665
-8.11386e-08	-0.00481665
-8.07386e-08	-0.00657424
-8.03386e-08	-0.00481665
-7.99386e-08	-0.00657424
-7.95386e-08	-0.00657424
-7.91386e-08	-0.00481665
-7.87386e-08	-0.00657424
-7.83386e-08	-0.00481665
-7.79386e-08	-0.00481665
-7.75386e-08	-0.00481665
-7.71386e-08	-0.00657424
-7.67386e-08	-0.00833183
-7.63386e-08	-0.00657424
-7.59386e-08	-0.00657424
-7.55386e-08	-0.00657424
-7.51386e-08	-0.00481665
-7.47386e-08	-0.00833183
-7.43386e-08	-0.00657424
-7.39386e-08	-0.00657424
-7.35386e-08	-0.00481665
-7.31386e-08	-0.00481665
-7.27386e-08	-0.00657424
-7.23386e-08	-0.00305906
-7.19386e-08	-0.00657424
-7.15386e-08	-0.00657424
-7.11386e-08	-0.00657424
-7.07386e-08	-0.00657424
-7.03386e-08	-0.00833183
-6.99386e-08	-0.00657424
-6.95386e-08	-0.00305906
-6.91386e-08	-0.00481665
-6.87386e-08	-0.00833183
-6.83386e-08	-0.00481665
-6.79386e-08	-0.00833183
-6.75386e-08	-0.0100894
-6.71386e-08	-0.00833183
-6.67386e-08	-0.00657424
-6.63386e-08	-0.00481665
-6.59386e-08	-0.00657424
-6.55386e-08	-0.00481665
-6.51386e-08	-0.00833183
-6.47386e-08	-0.00481665
-6.43386e-08	-0.00657424
-6.39386e-08	-0.00657424
-6.35386e-08	-0.00657424
-6.31386e-08	-0.00481665
-6.27386e-08	-0.00657424
-6.23386e-08	-0.00657424
-6.19386e-08	-0.00657424
-6.15386e-08	-0.00305906
-6.11386e-08	-0.00481665
-6.07386e-08	-0.00481665
-6.03386e-08	-0.00833183
-5.99386e-08	-0.00481665
-5.95386e-08	-0.00481665
-5.91386e-08	-0.00833183
-5.87386e-08	-0.00481665
-5.83386e-08	-0.00481665
-5.79386e-08	-0.00657424
-5.75386e-08	-0.00657424
-5.71386e-08	-0.00657424
-5.67386e-08	-0.00481665
-5.63386e-08	-0.00305906
-5.59386e-08	-0.0100894
-5.55386e-08	-0.00657424
-5.51386e-08	-0.00481665
-5.47386e-08	-0.00305906
-5.43386e-08	-0.00657424
-5.39386e-08	-0.00481665
-5.35386e-08	-0.00833183
-5.31386e-08	-0.00481665
-5.27386e-08	-0.00657424
-5.23386e-08	-0.00481665
-5.19386e-08	-0.00657424
-5.15386e-08	-0.00481665
-5.11386e-08	-0.00657424
-5.07386e-08	-0.00657424
-5.03386e-08	-0.00657424
-4.99386e-08	-0.00657424
-4.95386e-08	-0.00481665
-4.91386e-08	-0.00481665
-4.87386e-08	-0.00657424
-4.83386e-08	-0.00657424
-4.79386e-08	-0.00833183
-4.75386e-08	-0.00657424
-4.71386e-08	-0.00657424
-4.67386e-08	-0.00657424
-4.63386e-08	-0.00833183
-4.59386e-08	-0.00657424
-4.55386e-08	-0.00481665
-4.51386e-08	-0.00833183
-4.47386e-08	-0.00481665
-4.43386e-08	-0.00657424
-4.39386e-08	-0.00657424
-4.35386e-08	-0.00481665
-4.31386e-08	-0.00481665
-4.27386e-08	-0.00305906
-4.23386e-08	-0.00481665
-4.19386e-08	-0.00481665
-4.15386e-08	-0.00657424
-4.11386e-08	-0.00657424
-4.07386e-08	-0.00481665
-4.03386e-08	-0.00481665
-3.99386e-08	-0.00657424
-3.95386e-08	-0.00481665
-3.91386e-08	-0.00657424
-3.87386e-08	-0.00657424
-3.83386e-08	-0.00833183
-3.79386e-08	-0.00305906
-3.75386e-08	-0.00481665
-3.71386e-08	-0.00657424
-3.67386e-08	-0.00481665
-3.63386e-08	-0.00481665
-3.59386e-08	-0.00657424
-3.55386e-08	-0.00481665
-3.51386e-08	-0.00657424
-3.47386e-08	-0.00657424
-3.43386e-08	-0.00481665
-3.39386e-08	-0.00833183
-3.35386e-08	-0.00481665
-3.31386e-08	-0.00657424
-3.27386e-08	-0.00481665
-3.23386e-08	-0.00481665
-3.19386e-08	-0.00657424
-3.15386e-08	-0.00657424
-3.11386e-08	-0.00305906
-3.07386e-08	-0.00481665
-3.03386e-08	-0.00481665
-2.99386e-08	-0.00833183
-2.95386e-08	-0.00481665
-2.91386e-08	-0.00481665
-2.87386e-08	-0.00657424
-2.83386e-08	-0.00481665
-2.79386e-08	-0.00657424
-2.75386e-08	-0.00481665
-2.71386e-08	-0.00657424
-2.67386e-08	-0.00657424
-2.63386e-08	-0.00481665
-2.59386e-08	-0.00481665
-2.55386e-08	-0.00833183
-2.51386e-08	-0.00481665
-2.47386e-08	-0.00657424
-2.43386e-08	-0.00833183
-2.39386e-08	-0.00657424
-2.35386e-08	-0.00481665
-2.31386e-08	-0.00657424
-2.27386e-08	-0.00657424
-2.23386e-08	-0.00833183
-2.19386e-08	-0.00481665
-2.15386e-08	-0.00657424
-2.11386e-08	-0.00481665
-2.07386e-08	-0.00833183
-2.03386e-08	-0.00657424
-1.99386e-08	-0.00657424
-1.95386e-08	-0.00833183
-1.91386e-08	-0.00833183
-1.87386e-08	-0.00657424
-1.83386e-08	-0.00481665
-1.79386e-08	-0.00657424
-1.75386e-08	-0.0100894
-1.71386e-08	-0.0153622
-1.67386e-08	-0.011847
-1.63386e-08	-0.00657424
-1.59386e-08	-0.00657424
-1.55386e-08	-0.00481665
-1.51386e-08	-0.00657424
-1.47386e-08	-0.00657424
-1.43386e-08	-0.00481665
-1.39386e-08	-0.00833183
-1.35386e-08	-0.00481665
-1.31386e-08	-0.00657424
-1.27386e-08	-0.00657424
-1.23386e-08	-0.00481665
-1.19386e-08	-0.00657424
-1.15386e-08	-0.00657424
-1.11386e-08	-0.00833183
-1.07386e-08	-0.00657424
-1.03386e-08	-0.00481665
-9.93855e-09	-0.00481665
-9.53855e-09	-0.00657424
-9.13855e-09	-0.00481665
-8.73855e-09	-0.00305906
-8.33855e-09	-0.00657424
-7.93855e-09	-0.00833183
-7.53855e-09	-0.0100894
-7.13855e-09	-0.0153622
-6.73855e-09	-0.011847
-6.33855e-09	-0.00833183
-5.93855e-09	-0.00833183
-5.53855e-09	-0.0100894
-5.13855e-09	-0.0136046
-4.73855e-09	-0.0136046
-4.33855e-09	-0.00657424
-3.93855e-09	-0.00481665
-3.53855e-09	-0.0136046
-3.13855e-09	-0.0259078
-2.73855e-09	-0.0364533
-2.33855e-09	-0.0469989
-1.93855e-09	-0.0434837
-1.53855e-09	-0.0329381
-1.13855e-09	-0.0417261
-7.38554e-10	-0.0469989
-3.38554e-10	-0.0645748
6.14456e-11	-0.0926963
4.61446e-10	-0.0944539
8.61446e-10	-0.0751204
1.26145e-09	-0.0751204
1.66145e-09	-0.103242
2.06145e-09	-0.110272
2.46145e-09	-0.0997267
2.86145e-09	-0.0821507
3.26145e-09	-0.0909387
3.66145e-09	-0.0909387
4.06145e-09	-0.0856659
4.46145e-09	-0.0803931
4.86145e-09	-0.0821507
5.26145e-09	-0.0751204
5.66145e-09	-0.076878
6.06145e-09	-0.0909387
6.46145e-09	-0.0575444
6.86145e-09	-0.0399685
7.26145e-09	-0.0522717
7.66145e-09	-0.0751204
8.06145e-09	-0.0821507
8.46145e-09	-0.0698476
8.86145e-09	-0.0505141
9.26145e-09	-0.0452413
9.66145e-09	-0.0364533
1.00614e-08	-0.0434837
1.04614e-08	-0.0329381
1.08614e-08	-0.0294229
1.12614e-08	-0.0364533
1.16614e-08	-0.0505141
1.20614e-08	-0.0452413
1.24614e-08	-0.0452413
1.28614e-08	-0.0452413
1.32614e-08	-0.0399685
1.36614e-08	-0.0434837
1.40614e-08	-0.0505141
1.44614e-08	-0.0417261
1.48614e-08	-0.0382109
1.52614e-08	-0.0188774
1.56614e-08	-0.020635
1.60614e-08	-0.0311805
1.64614e-08	-0.0276654
1.68614e-08	-0.011847
1.72614e-08	-0.00657424
1.76614e-08	-0.0136046
1.80614e-08	-0.0188774
1.84614e-08	-0.020635
1.88614e-08	-0.0259078
1.92614e-08	-0.0259078
1.96614e-08	-0.0223926
2.00614e-08	-0.0136046
2.04614e-08	-0.0136046
2.08614e-08	-0.0188774
2.12614e-08	-0.0153622
2.16614e-08	-0.011847
2.20614e-08	-0.0188774
2.24614e-08	-0.0294229
2.28614e-08	-0.020635
2.32614e-08	-0.011847
2.36614e-08	-0.0136046
2.40614e-08	-0.0136046
2.44614e-08	-0.0136046
2.48614e-08	-0.00833183
2.52614e-08	-0.00833183
2.56614e-08	-0.0100894
2.60614e-08	-0.00833183
2.64614e-08	-0.011847
2.68614e-08	-0.0136046
2.72614e-08	-0.011847
2.76614e-08	-0.0100894
2.80614e-08	-0.00833183
2.84614e-08	-0.0153622
2.88614e-08	-0.0153622
2.92614e-08	-0.0100894
2.96614e-08	-0.00833183
3.00614e-08	-0.0100894
3.04614e-08	-0.011847
3.08614e-08	-0.00657424
3.12614e-08	-0.00657424
3.16614e-08	-0.00833183
3.20614e-08	-0.00657424
3.24614e-08	-0.00833183
3.28614e-08	-0.00657424
3.32614e-08	-0.00657424
3.36614e-08	-0.0100894
3.40614e-08	-0.00833183
3.44614e-08	-0.00657424
3.48614e-08	-0.00481665
3.52614e-08	-0.00481665
3.56614e-08	-0.00481665
3.60614e-08	-0.00481665
3.64614e-08	-0.00657424
3.68614e-08	-0.00657424
3.72614e-08	-0.00481665
3.76614e-08	-0.00481665
3.80614e-08	-0.00481665
3.84614e-08	-0.00833183
3.88614e-08	-0.00481665
3.92614e-08	-0.00481665
3.96614e-08	-0.00481665
4.00614e-08	-0.00833183
4.04614e-08	-0.00657424
4.08614e-08	-0.00833183
4.12614e-08	-0.00481665
4.16614e-08	-0.00657424
4.20614e-08	-0.00657424
4.24614e-08	-0.00657424
4.28614e-08	-0.00657424
4.32614e-08	-0.00833183
4.36614e-08	-0.00481665
4.40614e-08	-0.00833183
4.44614e-08	-0.011847
4.48614e-08	-0.0136046
4.52614e-08	-0.0100894
4.56614e-08	-0.00481665
4.60614e-08	-0.00657424
4.64614e-08	-0.0100894
4.68614e-08	-0.00481665
