LECROYWaveRunner5u	30005	Waveform
Segments	1	SegmentSize	1327
Segment	TrigTime	TimeSinceSegment1
#1	24-May-2021 12:36:51	0                 
Time	Ampl
-2.47079e-07	-0.00657424
-2.46679e-07	-0.00481665
-2.46279e-07	-0.00481665
-2.45879e-07	-0.00657424
-2.45479e-07	-0.00481665
-2.45079e-07	-0.00481665
-2.44679e-07	-0.00657424
-2.44279e-07	-0.00657424
-2.43879e-07	-0.00657424
-2.43479e-07	-0.00833183
-2.43079e-07	-0.00481665
-2.42679e-07	-0.00481665
-2.42279e-07	-0.00657424
-2.41879e-07	-0.00657424
-2.41479e-07	-0.00481665
-2.41079e-07	-0.00481665
-2.40679e-07	-0.00657424
-2.40279e-07	-0.00481665
-2.39879e-07	-0.00481665
-2.39479e-07	-0.00657424
-2.39079e-07	-0.00833183
-2.38679e-07	-0.00481665
-2.38279e-07	-0.00481665
-2.37879e-07	-0.00657424
-2.37479e-07	-0.00305906
-2.37079e-07	-0.00833183
-2.36679e-07	-0.00657424
-2.36279e-07	-0.00481665
-2.35879e-07	-0.00657424
-2.35479e-07	-0.00305906
-2.35079e-07	-0.00481665
-2.34679e-07	-0.00481665
-2.34279e-07	-0.00481665
-2.33879e-07	-0.00833183
-2.33479e-07	-0.00657424
-2.33079e-07	-0.00657424
-2.32679e-07	-0.00833183
-2.32279e-07	-0.00657424
-2.31879e-07	-0.00657424
-2.31479e-07	-0.00657424
-2.31079e-07	-0.00657424
-2.30679e-07	-0.00481665
-2.30279e-07	-0.00481665
-2.29879e-07	-0.00833183
-2.29479e-07	-0.00481665
-2.29079e-07	-0.00657424
-2.28679e-07	-0.00833183
-2.28279e-07	-0.00657424
-2.27879e-07	-0.00657424
-2.27479e-07	-0.00657424
-2.27079e-07	-0.00481665
-2.26679e-07	-0.00657424
-2.26279e-07	-0.00481665
-2.25879e-07	-0.00657424
-2.25479e-07	-0.00657424
-2.25079e-07	-0.00833183
-2.24679e-07	-0.00481665
-2.24279e-07	-0.00657424
-2.23879e-07	-0.00833183
-2.23479e-07	-0.00657424
-2.23079e-07	-0.00657424
-2.22679e-07	-0.00481665
-2.22279e-07	-0.00657424
-2.21879e-07	-0.00481665
-2.21479e-07	-0.00481665
-2.21079e-07	-0.00481665
-2.20679e-07	-0.00657424
-2.20279e-07	-0.00481665
-2.19879e-07	-0.00481665
-2.19479e-07	-0.00657424
-2.19079e-07	-0.00657424
-2.18679e-07	-0.00481665
-2.18279e-07	-0.00481665
-2.17879e-07	-0.0100894
-2.17479e-07	-0.00833183
-2.17079e-07	-0.00481665
-2.16679e-07	-0.00481665
-2.16279e-07	-0.00657424
-2.15879e-07	-0.00305906
-2.15479e-07	-0.00833183
-2.15079e-07	-0.00481665
-2.14679e-07	-0.00481665
-2.14279e-07	-0.00657424
-2.13879e-07	-0.00657424
-2.13479e-07	-0.00481665
-2.13079e-07	-0.00481665
-2.12679e-07	-0.00657424
-2.12279e-07	-0.00481665
-2.11879e-07	-0.00657424
-2.11479e-07	-0.00657424
-2.11079e-07	-0.00657424
-2.10679e-07	-0.00833183
-2.10279e-07	-0.00481665
-2.09879e-07	-0.00305906
-2.09479e-07	-0.00481665
-2.09079e-07	-0.00481665
-2.08679e-07	-0.00481665
-2.08279e-07	-0.00305906
-2.07879e-07	-0.00833183
-2.07479e-07	-0.00657424
-2.07079e-07	-0.00657424
-2.06679e-07	-0.00481665
-2.06279e-07	-0.00833183
-2.05879e-07	-0.00305906
-2.05479e-07	-0.00305906
-2.05079e-07	-0.00657424
-2.04679e-07	-0.00657424
-2.04279e-07	-0.00481665
-2.03879e-07	-0.00657424
-2.03479e-07	-0.00481665
-2.03079e-07	-0.00481665
-2.02679e-07	-0.00481665
-2.02279e-07	-0.00481665
-2.01879e-07	-0.00833183
-2.01479e-07	-0.00657424
-2.01079e-07	-0.00481665
-2.00679e-07	-0.00833183
-2.00279e-07	-0.00481665
-1.99879e-07	-0.00833183
-1.99479e-07	-0.00833183
-1.99079e-07	-0.00481665
-1.98679e-07	-0.00657424
-1.98279e-07	-0.00657424
-1.97879e-07	-0.00657424
-1.97479e-07	-0.00657424
-1.97079e-07	-0.00657424
-1.96679e-07	-0.00481665
-1.96279e-07	-0.00481665
-1.95879e-07	-0.00481665
-1.95479e-07	-0.00657424
-1.95079e-07	-0.00657424
-1.94679e-07	-0.00657424
-1.94279e-07	-0.00481665
-1.93879e-07	-0.00657424
-1.93479e-07	-0.00657424
-1.93079e-07	-0.00833183
-1.92679e-07	-0.00833183
-1.92279e-07	-0.00833183
-1.91879e-07	-0.00481665
-1.91479e-07	-0.00657424
-1.91079e-07	-0.00833183
-1.90679e-07	-0.00481665
-1.90279e-07	-0.00657424
-1.89879e-07	-0.00657424
-1.89479e-07	-0.00833183
-1.89079e-07	-0.00657424
-1.88679e-07	-0.00657424
-1.88279e-07	-0.00305906
-1.87879e-07	-0.00657424
-1.87479e-07	-0.00305906
-1.87079e-07	-0.00833183
-1.86679e-07	-0.00481665
-1.86279e-07	-0.00657424
-1.85879e-07	-0.00657424
-1.85479e-07	-0.00657424
-1.85079e-07	-0.00833183
-1.84679e-07	-0.00657424
-1.84279e-07	-0.00657424
-1.83879e-07	-0.00657424
