LECROYWaveRunner5u	30005	Waveform
Segments	1	SegmentSize	1327
Segment	TrigTime	TimeSinceSegment1
#1	24-May-2021 12:36:52	0                 
Time	Ampl
-2.47293e-07	-0.00657424
-2.46893e-07	-0.00657424
-2.46493e-07	-0.00481665
-2.46093e-07	-0.00833183
-2.45693e-07	-0.00657424
-2.45293e-07	-0.00657424
-2.44893e-07	-0.00481665
-2.44493e-07	-0.00657424
-2.44093e-07	-0.00657424
-2.43693e-07	-0.00481665
-2.43293e-07	-0.00481665
-2.42893e-07	-0.00657424
-2.42493e-07	-0.00833183
-2.42093e-07	-0.00481665
-2.41693e-07	-0.00657424
-2.41293e-07	-0.00657424
-2.40893e-07	-0.00833183
-2.40493e-07	-0.00481665
-2.40093e-07	-0.00481665
-2.39693e-07	-0.00657424
-2.39293e-07	-0.00833183
-2.38893e-07	-0.00657424
-2.38493e-07	-0.00305906
-2.38093e-07	-0.00657424
-2.37693e-07	-0.00657424
-2.37293e-07	-0.00305906
-2.36893e-07	-0.0100894
-2.36493e-07	-0.00833183
-2.36093e-07	-0.00481665
-2.35693e-07	-0.00657424
-2.35293e-07	-0.00481665
-2.34893e-07	-0.00657424
-2.34493e-07	-0.00657424
-2.34093e-07	-0.00481665
-2.33693e-07	-0.00481665
-2.33293e-07	-0.00657424
-2.32893e-07	-0.00481665
-2.32493e-07	-0.00481665
-2.32093e-07	-0.00481665
-2.31693e-07	-0.00657424
-2.31293e-07	-0.00481665
-2.30893e-07	-0.00833183
-2.30493e-07	-0.00657424
-2.30093e-07	-0.00657424
-2.29693e-07	-0.00481665
-2.29293e-07	-0.00481665
-2.28893e-07	-0.00481665
-2.28493e-07	-0.00481665
-2.28093e-07	-0.00657424
-2.27693e-07	-0.00657424
-2.27293e-07	-0.00481665
-2.26893e-07	-0.00657424
-2.26493e-07	-0.00481665
-2.26093e-07	-0.00657424
-2.25693e-07	-0.00657424
-2.25293e-07	-0.00657424
-2.24893e-07	-0.00305906
-2.24493e-07	-0.00657424
-2.24093e-07	-0.00657424
-2.23693e-07	-0.00481665
-2.23293e-07	-0.00481665
-2.22893e-07	-0.00305906
-2.22493e-07	-0.00481665
-2.22093e-07	-0.00833183
-2.21693e-07	-0.00657424
-2.21293e-07	-0.00481665
-2.20893e-07	-0.00833183
-2.20493e-07	-0.00657424
-2.20093e-07	-0.00833183
-2.19693e-07	-0.00305906
-2.19293e-07	-0.00481665
-2.18893e-07	-0.00481665
-2.18493e-07	-0.00657424
-2.18093e-07	-0.00481665
-2.17693e-07	-0.00481665
-2.17293e-07	-0.00481665
-2.16893e-07	-0.00481665
-2.16493e-07	-0.00657424
-2.16093e-07	-0.00657424
-2.15693e-07	-0.00657424
-2.15293e-07	-0.00481665
-2.14893e-07	-0.00481665
-2.14493e-07	-0.00481665
-2.14093e-07	-0.00833183
-2.13693e-07	-0.00481665
-2.13293e-07	-0.00657424
-2.12893e-07	-0.00657424
-2.12493e-07	-0.00833183
-2.12093e-07	-0.00481665
-2.11693e-07	-0.00481665
-2.11293e-07	-0.00657424
-2.10893e-07	-0.00657424
-2.10493e-07	-0.00481665
-2.10093e-07	-0.00481665
-2.09693e-07	-0.00481665
-2.09293e-07	-0.00833183
-2.08893e-07	-0.00657424
-2.08493e-07	-0.00833183
-2.08093e-07	-0.00833183
-2.07693e-07	-0.00481665
-2.07293e-07	-0.00833183
-2.06893e-07	-0.00657424
-2.06493e-07	-0.00481665
-2.06093e-07	-0.00833183
-2.05693e-07	-0.00833183
-2.05293e-07	-0.00481665
-2.04893e-07	-0.00481665
-2.04493e-07	-0.00657424
-2.04093e-07	-0.00657424
-2.03693e-07	-0.00481665
-2.03293e-07	-0.00481665
-2.02893e-07	-0.00657424
-2.02493e-07	-0.00657424
-2.02093e-07	-0.00481665
-2.01693e-07	-0.00481665
-2.01293e-07	-0.00657424
-2.00893e-07	-0.00833183
-2.00493e-07	-0.00305906
-2.00093e-07	-0.00481665
-1.99693e-07	-0.00481665
-1.99293e-07	-0.00657424
-1.98893e-07	-0.00481665
-1.98493e-07	-0.00657424
-1.98093e-07	-0.00657424
-1.97693e-07	-0.00657424
-1.97293e-07	-0.00657424
-1.96893e-07	-0.00657424
-1.96493e-07	-0.00833183
-1.96093e-07	-0.00657424
-1.95693e-07	-0.00657424
-1.95293e-07	-0.00833183
-1.94893e-07	-0.00657424
-1.94493e-07	-0.00657424
-1.94093e-07	-0.00305906
-1.93693e-07	-0.00657424
-1.93293e-07	-0.00657424
-1.92893e-07	-0.00657424
-1.92493e-07	-0.00657424
-1.92093e-07	-0.00657424
-1.91693e-07	-0.00481665
-1.91293e-07	-0.00305906
-1.90893e-07	-0.00481665
-1.90493e-07	-0.00481665
-1.90093e-07	-0.00657424
-1.89693e-07	-0.00481665
-1.89293e-07	-0.00657424
-1.88893e-07	-0.00305906
-1.88493e-07	-0.00657424
-1.88093e-07	-0.00481665
-1.87693e-07	-0.00481665
-1.87293e-07	-0.00481665
-1.86893e-07	-0.00657424
-1.86493e-07	-0.00657424
-1.86093e-07	-0.00657424
-1.85693e-07	-0.00657424
-1.85293e-07	-0.00833183
-1.84893e-07	-0.00481665
-1.84493e-07	-0.00481665
-1.84093e-07	-0.00481665
-1.83693e-07	-0.0100894
-1.83293e-07	-0.00481665
-1.82893e-07	-0.00833183
-1.82493e-07	-0.00657424
-1.82093e-07	-0.00657424
-1.81693e-07	-0.00657424
-1.81293e-07	-0.00657424
-1.80893e-07	-0.00657424
-1.80493e-07	-0.00657424
-1.80093e-07	-0.00833183
-1.79693e-07	-0.00481665
-1.79293e-07	-0.00481665
-1.78893e-07	-0.00481665
-1.78493e-07	-0.00657424
-1.78093e-07	-0.00305906
-1.77693e-07	-0.00481665
-1.77293e-07	-0.00833183
-1.76893e-07	-0.00657424
-1.76493e-07	-0.00481665
-1.76093e-07	-0.00305906
-1.75693e-07	-0.00657424
-1.75293e-07	-0.00305906
-1.74893e-07	-0.00481665
-1.74493e-07	-0.00481665
-1.74093e-07	-0.00833183
-1.73693e-07	-0.00481665
-1.73293e-07	-0.00833183
-1.72893e-07	-0.00305906
-1.72493e-07	-0.00657424
-1.72093e-07	-0.00305906
-1.71693e-07	-0.00657424
-1.71293e-07	-0.00657424
-1.70893e-07	-0.00481665
-1.70493e-07	-0.00657424
-1.70093e-07	-0.00481665
-1.69693e-07	-0.00657424
-1.69293e-07	-0.00833183
-1.68893e-07	-0.00481665
-1.68493e-07	-0.00481665
-1.68093e-07	-0.00833183
-1.67693e-07	-0.00657424
-1.67293e-07	-0.00657424
-1.66893e-07	-0.00657424
-1.66493e-07	-0.00657424
-1.66093e-07	-0.00833183
-1.65693e-07	-0.00833183
-1.65293e-07	-0.00481665
-1.64893e-07	-0.00657424
-1.64493e-07	-0.00657424
-1.64093e-07	-0.00833183
-1.63693e-07	-0.00657424
-1.63293e-07	-0.00481665
-1.62893e-07	-0.00481665
-1.62493e-07	-0.00657424
-1.62093e-07	-0.00657424
-1.61693e-07	-0.00657424
-1.61293e-07	-0.00657424
-1.60893e-07	-0.00833183
-1.60493e-07	-0.00657424
-1.60093e-07	-0.00657424
-1.59693e-07	-0.00481665
-1.59293e-07	-0.00657424
-1.58893e-07	-0.0100894
-1.58493e-07	-0.00481665
-1.58093e-07	-0.00481665
-1.57693e-07	-0.00481665
-1.57293e-07	-0.00305906
-1.56893e-07	-0.00130146
-1.56493e-07	-0.00657424
-1.56093e-07	-0.00481665
-1.55693e-07	-0.00481665
-1.55293e-07	-0.00481665
-1.54893e-07	-0.00657424
-1.54493e-07	-0.00833183
-1.54093e-07	-0.00481665
-1.53693e-07	-0.00481665
